Date,Vendor,Amount,GL Account,Description
2024-01-03,Amazon Web Services,4500.00,IT Infrastructure,Monthly cloud hosting
2024-01-05,Starbucks,87.50,Office Equipment,Team coffee meeting
2024-01-07,Starbucks,87.50,Office Equipment,Team coffee meeting
2024-01-09,,1200.00,Suspense,Unknown vendor payment
2024-01-10,Oracle Corp,22000.00,Software Licenses,Annual license renewal
2024-01-12,Delta Airlines,3400.00,Office Supplies,Executive travel Q1
2024-01-14,ADP Payroll,85000.00,Payroll,January payroll run
2024-01-15,Uber Eats,340.00,Capital Expenditure,Team lunch delivery
2024-01-17,Google Ads,6000.00,Marketing,Q1 digital ad spend
2024-01-19,FedEx,220.00,Miscellaneous,Shipping invoices
2024-01-20,Microsoft Azure,9800.00,IT Infrastructure,Cloud compute + storage
2024-01-22,WeWork,5500.00,Rent Expense,Office coworking Jan
2024-01-23,Starbucks,87.50,Office Equipment,Team coffee meeting
2024-01-25,IRS EFTPS,18500.00,Tax Payable,Q4 estimated tax payment
2024-01-26,,450.00,Miscellaneous,
2024-01-28,Zoom Video,1200.00,Office Equipment,Annual video conferencing
2024-01-29,Salesforce,14000.00,Marketing,CRM annual subscription
2024-01-30,Petty Cash,150.00,Suspense,Various small expenses
2024-01-31,Apple Inc,3200.00,Capital Expenditure,MacBook for new hire
2024-02-01,Amazon Web Services,4500.00,IT Infrastructure,Monthly cloud hosting
